Date,Number_of_tweet,exchange,open,high,low,close,volume,trade_count,vwap,symbol,nasdaq,spx,Ethereum Market Cap,Next_day_price
2017-02-08,9,CBSE,11.41,11.54,11.39,11.45,15794.49786,3425,11.45077507,ETHUSD,5682.45,2294.67,1005343886,11.58
2017-02-09,8,CBSE,11.46,11.46,10.61,11.02,101956.9446,15539,10.97315209,ETHUSD,5715.18,2307.87,968413072.7,11.45
2017-02-10,8,CBSE,11.44,11.48,11.34,11.41,9861.444367,5099,11.42623744,ETHUSD,5734.13,2316.1,1000774841,11.02
2017-02-13,12,CBSE,11.42,12.2,11.39,12.12,60978.85663,6976,11.76566916,ETHUSD,5763.96,2328.25,1002404862,11.54
2017-02-14,14,CBSE,12.08,14.7,11.55,13.14,196148.1266,24660,12.8089474,ETHUSD,5782.57,2337.58,1152983308,12.12
2017-02-15,16,CBSE,12.72,13.15,12.7,12.98,76793.1621,9069,12.9113927,ETHUSD,5819.44,2349.25,1150065646,13.14
2017-02-16,20,CBSE,12.72,13,12.71,12.89,53267.65143,6438,12.84988323,ETHUSD,5814.9,2347.22,1141695360,12.98
2017-02-17,34,CBSE,12.9,12.95,12.71,12.75,72473.98547,7434,12.81302532,ETHUSD,5838.58,2351.16,1130310857,12.89
2017-02-21,16,CBSE,12.61,12.87,12.52,12.83,61357.05919,9367,12.76280802,ETHUSD,5865.95,2365.38,1134283629,12.6
2017-02-22,21,CBSE,12.74,12.81,12.73,12.79,14484.45402,8727,12.75413692,ETHUSD,5860.63,2362.82,1122185283,12.83
2017-02-23,20,CBSE,13.22,13.29,12.96,13.23,47968.68464,2359,13.14284264,ETHUSD,5835.51,2363.81,1171602048,12.79
2017-02-24,19,CBSE,13.18,13.22,13.06,13.22,16377.72169,5077,13.15201395,ETHUSD,5845.31,2367.34,1165941515,13.23
2017-02-27,16,CBSE,15.66,16.94,15.41,16.07,187732.3061,12328,16.15603648,ETHUSD,5861.9,2369.75,1371373070,14.8
2017-02-28,20,CBSE,16.08,16.43,15.21,16.4,154894.4302,10457,15.71460058,ETHUSD,5825.44,2363.64,1402597199,16.07
2017-03-01,11,CBSE,17.46,17.57,16.88,17.41,81724.6284,4699,17.32219042,ETHUSD,5904.03,2395.96,1534004366,16.4
2017-03-02,10,CBSE,19.27,21.49,19.1,20.67,128439.1196,7166,20.2538776,ETHUSD,5861.22,2381.92,1697730102,17.41
2017-03-03,12,CBSE,19.61,20.24,19.47,20.17,42066.47269,3924,19.91643068,ETHUSD,5870.75,2383.12,1751276477,20.67
2017-03-06,14,CBSE,19.68,19.77,19.23,19.43,38530.58487,5403,19.51564319,ETHUSD,5849.17,2375.31,1760717955,19.21
2017-03-07,10,CBSE,18.96,18.96,16.79,17.41,103355.2664,6436,18.0782288,ETHUSD,5833.93,2368.39,1685811626,19.43
2017-03-08,7,CBSE,17.45,18.6,16.65,16.68,177149.8731,13815,17.53357489,ETHUSD,5837.55,2362.98,1500309874,17.41
2017-03-09,16,CBSE,17.81,18.48,17.65,18.07,32217.80127,3886,18.05682464,ETHUSD,5838.81,2364.87,1579882452,16.68
2017-03-10,11,CBSE,18.07,19.7,17.01,19.2,276834.9178,18604,18.53632414,ETHUSD,5861.73,2372.6,1726669640,18.07
2017-03-13,6,CBSE,25.97,31.1,25.52,28.64,518857.6228,33925,28.34107942,ETHUSD,5875.78,2373.47,2552384188,25.97
2017-03-14,8,CBSE,28.52,30,27.73,28.69,171982.9885,19605,28.76218271,ETHUSD,5856.82,2365.45,2561402787,28.64
2017-03-15,21,CBSE,35.66,42,35.65,40.03,286760.5879,22223,38.80286298,ETHUSD,5900.05,2385.26,3070584068,28.69
2017-03-16,18,CBSE,45.97,57.67,45.4,52.12,158052.9823,12402,51.14280323,ETHUSD,5900.76,2381.38,3580085215,40.03
2017-03-17,14,CBSE,44.62,45,42.18,42.48,44325.365,5459,43.38328102,ETHUSD,5901,2378.25,3959577513,52.12
2017-03-20,7,CBSE,42.24,45.25,40.86,42.31,173708.051,18453,43.55308522,ETHUSD,5901.53,2373.47,3765537572,43.21
2017-03-21,14,CBSE,42.39,42.59,41.37,42.28,30269.36054,4140,42.08152565,ETHUSD,5793.83,2344.02,3822148614,42.31
2017-03-22,14,CBSE,41.33,42.56,40.6,41.14,38076.23167,4904,41.65720898,ETHUSD,5821.64,2348.45,3714048002,42.28
